CICLO,ID_ENTIDAD_FEDERATIVA,ENTIDAD_FEDERATIVA,MONTO_IMPUESTOS,MONTO_DERECHOS,MONTO_PREDIAL,MONTO_AGUA,TOTAL_RECAUDACION_LOCAL
2016,25,Sinaloa,1427133184.000,1918124544.000,1336388480.000,1906700032.000,6588346240.000
2004,26,Sonora,557753400.000,353856300.000,414337842.000,870076012.000,2196023554.000
2005,26,Sonora,633426142.000,635957357.000,444445966.000,944733656.000,2658563121.000
2006,26,Sonora,683226600.000,540358300.000,496474822.000,975016634.000,2695076356.000
2007,26,Sonora,799905600.000,609235700.000,554678618.000,1081222687.000,3045042605.000
2008,26,Sonora,851921763.000,769927089.000,630837777.000,1199305126.000,3451991755.000
2009,26,Sonora,825599185.730,637880407.630,628725623.000,1289241403.000,3381446619.360
2010,26,Sonora,882061584.000,678035915.000,686811295.000,1336613370.000,3583522164.000
2011,26,Sonora,1324244973.000,1020388943.000,739659208.000,1370072561.000,4454365685.000
2012,26,Sonora,1449947547.000,841366084.000,788776512.000,1426780544.000,4506870687.000
2013,26,Sonora,2325594722.000,1045246518.000,783151808.000,1758297088.000,5912290136.000
2014,26,Sonora,2143332224.000,1285377664.000,793851648.000,1715619072.000,5938180608.000
2015,26,Sonora,2162984808.800,1258291307.000,881160576.000,1775935232.000,6078371923.800
2016,26,Sonora,2482447360.000,1550137600.000,916470848.000,1971704320.000,6920760128.000
2004,27,Tabasco,181826429.000,184563994.000,71249907.000,69472475.000,507112805.000
2005,27,Tabasco,212325310.000,215576746.000,86322672.000,98752294.000,612977022.000
2006,27,Tabasco,246073405.000,239349925.000,99164567.000,127733102.000,712320999.000
2007,27,Tabasco,255662168.000,235046557.000,147156678.000,102535295.000,740400698.000
2008,27,Tabasco,252475440.000,263841493.000,175382355.000,111616376.000,803315664.000
2009,27,Tabasco,330551885.000,352720159.000,182050211.000,121322888.000,986645143.000
2010,27,Tabasco,737169641.000,487198744.000,174752346.000,117472927.000,1516593658.000
2011,27,Tabasco,1514180367.000,593037200.000,197176956.000,139167137.000,2443561660.000
2012,27,Tabasco,1657188900.000,596991694.870,214064880.000,191311360.000,2659556834.870
2013,27,Tabasco,1789810638.000,482471649.000,225924976.000,133545688.000,2631752951.000
2014,27,Tabasco,1413949952.000,596629568.000,246378192.000,148670960.000,2405628672.000
2015,27,Tabasco,1206474714.700,620726748.910,237841968.000,147794480.000,2212837911.610
2016,27,Tabasco,1029264512.000,621209600.000,287541536.000,151292592.000,2089308240.000
2004,28,Tamaulipas,762897000.000,881773000.000,380893871.000,1373866424.000,3399430295.000
2005,28,Tamaulipas,808944000.000,785358000.000,419348496.000,1527650463.000,3541300959.000
2006,28,Tamaulipas,936270215.000,898015424.000,434744050.000,1569222125.000,3838251814.000
2007,28,Tamaulipas,1007768555.000,1147451731.000,459675664.000,1643415140.000,4258311090.000
2008,28,Tamaulipas,1171066186.000,1065898947.000,491057917.000,1772723179.000,4500746229.000
2009,28,Tamaulipas,1071932526.700,970961892.460,498456702.000,1701664734.000,4243015855.160
2010,28,Tamaulipas,1142099592.000,1315171981.000,586224669.000,1814286942.000,4857783184.000
2011,28,Tamaulipas,1322825856.000,1201188471.000,580219250.000,1994947515.100,5099181092.100
2012,28,Tamaulipas,1691152041.900,1487375993.000,620483264.000,2187560448.000,5986571746.900
2013,28,Tamaulipas,2180766172.100,1595822061.800,640413056.000,2202188032.000,6619189321.900
2014,28,Tamaulipas,1942039552.000,1472370432.000,658172992.000,2251961088.000,6324544064.000
2015,28,Tamaulipas,2011501061.000,1463846499.000,660429248.000,2328770560.000,6464547368.000
2016,28,Tamaulipas,2122374528.000,1864221184.000,645581568.000,2464380672.000,7096557952.000
2004,29,Tlaxcala,113438976.000,115666232.000,27329699.000,72948220.000,329383127.000
2005,29,Tlaxcala,121883614.000,122843238.000,32806112.000,78572442.000,356105406.000
2006,29,Tlaxcala,137792567.000,176272742.000,37132973.000,89432813.000,440631095.000
2007,29,Tlaxcala,134985223.000,158087865.000,41249039.000,89889655.000,424211782.000
2008,29,Tlaxcala,152795310.000,193022810.000,42911929.000,96327295.970,485057344.970
2009,29,Tlaxcala,137426476.000,179829575.000,48841875.000,101625207.000,467723133.000
2010,29,Tlaxcala,147188535.000,194908444.000,49942283.000,104205409.000,496244671.000
2011,29,Tlaxcala,228307277.000,207684285.000,57470833.000,118756468.000,612218863.000
2012,29,Tlaxcala,211221390.000,262669101.000,64275592.000,135917568.000,674083651.000
2013,29,Tlaxcala,219152198.000,244869161.000,61142792.000,126524648.000,651688799.000
2014,29,Tlaxcala,198111984.000,338537600.000,72415608.000,136441776.000,745506968.000
2015,29,Tlaxcala,282183662.000,388512538.000,77570192.000,143653712.000,891920104.000
2016,29,Tlaxcala,278564288.000,391182144.000,77841216.000,155327168.000,902914816.000
2004,30,Veracruz,1006803928.000,970725973.000,510082287.000,907184160.000,3394796348.000
2005,30,Veracruz,1070464373.000,599198329.000,522126713.000,972677935.000,3164467350.000
2006,30,Veracruz,1231373377.000,729366774.000,609026047.000,1096414083.000,3666180281.000
2007,30,Veracruz,1292327871.000,1833874129.000,559384837.000,1220962194.000,4906549031.000
2008,30,Veracruz,1344200000.000,2208500000.000,609741816.000,1356446692.000,5518888508.000
2009,30,Veracruz,1506100000.000,3006800000.000,665918180.000,1471744666.000,6650562846.000
2010,30,Veracruz,1604100000.000,3183400000.000,639563692.000,1550411293.000,6977474985.000
2011,30,Veracruz,2007889668.000,2647543678.000,729433229.000,1668308809.000,7053175384.000
2012,30,Veracruz,3045449709.000,3776048795.000,776102720.000,1786042496.000,9383643720.000
2013,30,Veracruz,2743901254.300,1072937407.000,797079296.000,1956868352.000,6570786309.300
2014,30,Veracruz,2651055872.000,1142006272.000,832698688.000,2018796416.000,6644557248.000
2015,30,Veracruz,2652788554.600,1569515231.200,910813888.000,2156785664.000,7289903337.800
2016,30,Veracruz,3149181440.000,1572141952.000,924367168.000,2240133376.000,7885823936.000
2004,31,Yucatán,232091596.000,142294639.000,113850562.000,148989282.000,637226079.000
2005,31,Yucatán,260057633.000,142739498.000,120181896.000,196281630.000,719260657.000
2006,31,Yucatán,346386611.000,240355826.000,142141501.000,235434750.000,964318688.000
2007,31,Yucatán,353918893.000,197285813.000,170103320.000,239309113.000,960617139.000
2008,31,Yucatán,377149401.000,228646924.000,215206925.000,245617618.000,1066620868.000
2009,31,Yucatán,416255082.000,225076369.000,236873565.000,265170521.000,1143375537.000
2010,31,Yucatán,670429318.000,198696092.000,246826298.000,270233582.000,1386185290.000
2011,31,Yucatán,938929227.000,389568185.000,253448032.000,292618801.000,1874564245.000
2012,31,Yucatán,1130268070.000,484312988.000,264778176.000,300406784.000,2179766018.000
2013,31,Yucatán,1182223781.000,304228326.000,290227872.000,317655424.000,2094335403.000
2014,31,Yucatán,1173607680.000,434530496.000,329612032.000,329254144.000,2267004352.000
2015,31,Yucatán,1261909738.000,689768965.110,372660832.000,333823200.000,2658162735.110
2016,31,Yucatán,1312890752.000,870907904.000,454145792.000,359794176.000,2997738624.000
2004,32,Zacatecas,141851526.000,233407807.000,122973573.000,283948789.000,782181695.000
2005,32,Zacatecas,167665432.000,261827271.000,161916122.000,325759633.000,917168458.000
2006,32,Zacatecas,196749827.000,270898668.000,217443773.000,365429504.000,1050521772.000
2007,32,Zacatecas,231631566.000,315370593.000,235351474.000,401457548.000,1183811181.000
2008,32,Zacatecas,273454733.000,413015432.000,238542293.000,451168246.000,1376180704.000
2009,32,Zacatecas,248603795.000,334737835.000,243111518.000,460992215.000,1287445363.000
2010,32,Zacatecas,266806715.000,347080271.000,246857451.000,476960029.000,1337704466.000
2011,32,Zacatecas,308009311.000,674517986.000,270604539.000,497223826.000,1750355662.000
2012,32,Zacatecas,475627594.000,428457914.000,307459072.000,562351680.000,1773896260.000
2013,32,Zacatecas,503813607.000,390611881.000,319552224.000,577214592.000,1791192304.000
2014,32,Zacatecas,442717536.000,422115168.000,344272384.000,614935936.000,1824041024.000
2015,32,Zacatecas,375551421.000,464564891.000,384280512.000,673855808.000,1898252632.000
2016,32,Zacatecas,424203840.000,515489440.000,392032800.000,728186432.000,2059912512.000
